trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
91,2026-05-08 02:54:11.777512+00:00,GOOGL,hit_stop,-1.0,-134.06,13272.27,13608.01,-2.47,True
92,2026-05-08 02:54:11.806452+00:00,GOOGL,hit_target,1.15,152.63,13424.9,13608.01,-1.35,True
93,2026-05-08 02:54:11.810310+00:00,GOOGL,expired,0.597,80.21,13505.11,13608.01,-0.76,True
94,2026-05-08 02:54:11.812587+00:00,GOOGL,hit_target,1.15,155.31,13660.42,13660.42,0.0,False
95,2026-05-08 02:54:11.819057+00:00,GOOGL,expired,0.527,72.03,13732.45,13732.45,0.0,False
96,2026-05-08 02:54:11.843385+00:00,GOOGL,hit_stop,-1.0,-137.32,13595.13,13732.45,-1.0,True
97,2026-05-08 02:54:12.631399+00:00,META,hit_stop,-1.0,-135.95,13459.17,13732.45,-1.99,True
98,2026-05-08 02:54:12.637455+00:00,META,hit_target,1.43,192.47,13651.64,13732.45,-0.59,True
99,2026-05-08 02:54:12.690164+00:00,META,expired,-0.343,-46.8,13604.84,13732.45,-0.93,True
100,2026-05-08 02:54:12.690977+00:00,META,expired,0.092,12.49,13617.33,13732.45,-0.84,True
101,2026-05-08 02:54:12.699700+00:00,META,expired,-0.065,-8.9,13608.44,13732.45,-0.9,True
102,2026-05-08 02:54:12.703060+00:00,META,hit_target,1.15,156.5,13764.93,13764.93,0.0,False
103,2026-05-08 02:54:12.707175+00:00,META,hit_stop,-1.0,-137.65,13627.28,13764.93,-1.0,True
104,2026-05-08 02:54:12.724247+00:00,META,hit_target,1.71,233.03,13860.31,13860.31,0.0,False
105,2026-05-08 02:54:12.726861+00:00,META,hit_target,1.15,159.39,14019.7,14019.7,0.0,False
106,2026-05-08 02:54:12.729113+00:00,META,expired,0.023,3.29,14022.99,14022.99,0.0,False
107,2026-05-08 02:54:12.730421+00:00,META,hit_target,1.15,161.26,14184.26,14184.26,0.0,False
108,2026-05-08 02:54:12.735532+00:00,META,hit_stop,-1.0,-141.84,14042.41,14184.26,-1.0,True
109,2026-05-08 02:54:13.509770+00:00,TSLA,hit_target,1.77,248.55,14290.96,14290.96,0.0,False
110,2026-05-08 02:54:13.512044+00:00,TSLA,expired,-0.218,-31.09,14259.87,14290.96,-0.22,True
111,2026-05-08 02:54:13.523851+00:00,TSLA,hit_stop,-1.0,-142.6,14117.27,14290.96,-1.22,True
112,2026-05-08 02:54:13.580578+00:00,TSLA,hit_stop,-1.0,-141.17,13976.1,14290.96,-2.2,True
113,2026-05-08 02:54:13.593940+00:00,TSLA,hit_stop,-1.0,-139.76,13836.34,14290.96,-3.18,True
114,2026-05-08 02:54:13.597058+00:00,TSLA,hit_target,1.15,159.12,13995.46,14290.96,-2.07,True
115,2026-05-08 02:54:13.635386+00:00,TSLA,hit_stop,-1.0,-139.95,13855.5,14290.96,-3.05,True
116,2026-05-08 02:54:13.660261+00:00,TSLA,expired,1.605,222.42,14077.92,14290.96,-1.49,True
117,2026-05-08 02:54:13.661077+00:00,TSLA,expired,-0.22,-30.98,14046.95,14290.96,-1.71,True
118,2026-05-08 02:54:13.673926+00:00,TSLA,hit_stop,-1.0,-140.47,13906.48,14290.96,-2.69,True
119,2026-05-08 02:54:14.415731+00:00,BRK-B,expired,-0.362,-50.35,13856.13,14290.96,-3.04,True
120,2026-05-08 02:54:14.424329+00:00,BRK-B,expired,1.026,142.2,13998.32,14290.96,-2.05,True
121,2026-05-08 02:54:14.425943+00:00,BRK-B,expired,1.022,143.02,14141.34,14290.96,-1.05,True
122,2026-05-08 02:54:14.426716+00:00,BRK-B,hit_target,1.15,162.63,14303.97,14303.97,0.0,False
123,2026-05-08 02:54:14.430574+00:00,BRK-B,expired,0.223,31.9,14335.87,14335.87,0.0,False
124,2026-05-08 02:54:14.432321+00:00,BRK-B,hit_target,1.29,184.93,14520.8,14520.8,0.0,False
125,2026-05-08 02:54:14.433856+00:00,BRK-B,expired,-0.373,-54.2,14466.6,14520.8,-0.37,True
126,2026-05-08 02:54:14.435160+00:00,BRK-B,hit_stop,-1.0,-144.67,14321.94,14520.8,-1.37,True
127,2026-05-08 02:54:14.446208+00:00,BRK-B,expired,-0.317,-45.43,14276.51,14520.8,-1.68,True
