trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
130,2026-05-08 02:54:15.520431+00:00,V,expired,0.604,91.64,15255.88,15334.58,-0.51,True
131,2026-05-08 02:54:15.521491+00:00,V,hit_stop,-1.0,-152.56,15103.32,15334.58,-1.51,True
132,2026-05-08 02:54:15.543467+00:00,V,expired,-0.585,-88.29,15015.03,15334.58,-2.08,True
133,2026-05-08 02:54:16.369346+00:00,JPM,hit_target,2.03,304.81,15319.83,15334.58,-0.1,True
134,2026-05-08 02:54:16.395102+00:00,JPM,hit_target,4.65,712.37,16032.2,16032.2,0.0,False
135,2026-05-08 02:54:16.396652+00:00,JPM,hit_target,4.12,660.53,16692.73,16692.73,0.0,False
136,2026-05-08 02:54:16.403896+00:00,JPM,hit_stop,-1.0,-166.93,16525.8,16692.73,-1.0,True
137,2026-05-08 02:54:16.406509+00:00,JPM,hit_target,2.33,385.05,16910.85,16910.85,0.0,False
138,2026-05-08 02:54:16.412343+00:00,JPM,hit_stop,-1.0,-169.11,16741.75,16910.85,-1.0,True
139,2026-05-08 02:54:16.417908+00:00,JPM,hit_stop,-1.0,-167.42,16574.33,16910.85,-1.99,True
140,2026-05-08 02:54:16.435135+00:00,JPM,hit_stop,-1.0,-165.74,16408.58,16910.85,-2.97,True
141,2026-05-08 02:54:16.447296+00:00,JPM,expired,-0.189,-31.08,16377.5,16910.85,-3.15,True
142,2026-05-08 02:54:16.448166+00:00,JPM,hit_stop,-1.0,-163.78,16213.73,16910.85,-4.12,True
143,2026-05-08 02:54:16.455776+00:00,JPM,hit_target,2.6,421.56,16635.28,16910.85,-1.63,True
144,2026-05-08 02:54:16.460870+00:00,JPM,hit_stop,-1.0,-166.35,16468.93,16910.85,-2.61,True
145,2026-05-08 02:54:16.475629+00:00,JPM,expired,-0.372,-61.23,16407.7,16910.85,-2.98,True
146,2026-05-08 02:54:16.479328+00:00,JPM,hit_target,2.23,365.89,16773.59,16910.85,-0.81,True
147,2026-05-08 02:54:16.492858+00:00,JPM,hit_stop,-1.0,-167.74,16605.85,16910.85,-1.8,True
148,2026-05-08 02:54:16.528596+00:00,JPM,expired,0.107,17.71,16623.56,16910.85,-1.7,True
149,2026-05-08 02:54:17.326611+00:00,UNH,hit_target,1.83,304.21,16927.78,16927.78,0.0,False
150,2026-05-08 02:54:17.339415+00:00,UNH,hit_target,1.94,328.4,17256.17,17256.17,0.0,False
151,2026-05-08 02:54:17.340945+00:00,UNH,expired,-0.012,-2.08,17254.09,17256.17,-0.01,True
152,2026-05-08 02:54:17.341519+00:00,UNH,hit_stop,-1.0,-172.54,17081.55,17256.17,-1.01,True
153,2026-05-08 02:54:17.374073+00:00,UNH,expired,0.756,129.06,17210.61,17256.17,-0.26,True
154,2026-05-08 02:54:17.378923+00:00,UNH,hit_stop,-1.0,-172.11,17038.5,17256.17,-1.26,True
155,2026-05-08 02:54:17.389053+00:00,UNH,hit_target,1.69,287.95,17326.45,17326.45,0.0,False
156,2026-05-08 02:54:17.392075+00:00,UNH,hit_stop,-1.0,-173.26,17153.19,17326.45,-1.0,True
157,2026-05-08 02:54:17.396213+00:00,UNH,hit_stop,-1.0,-171.53,16981.66,17326.45,-1.99,True
158,2026-05-08 02:54:17.406377+00:00,UNH,hit_stop,-1.0,-169.82,16811.84,17326.45,-2.97,True
159,2026-05-08 02:54:17.430370+00:00,UNH,hit_target,2.96,497.63,17309.47,17326.45,-0.1,True
160,2026-05-08 02:54:17.458241+00:00,UNH,expired,0.483,83.62,17393.09,17393.09,0.0,False
161,2026-05-08 02:54:17.461876+00:00,UNH,expired,1.937,336.89,17729.98,17729.98,0.0,False
162,2026-05-08 02:54:17.466819+00:00,UNH,expired,0.161,28.46,17758.44,17758.44,0.0,False
163,2026-05-08 02:54:17.501508+00:00,UNH,hit_target,1.25,221.98,17980.42,17980.42,0.0,False
164,2026-05-08 02:54:17.503061+00:00,UNH,hit_target,3.78,679.66,18660.08,18660.08,0.0,False
165,2026-05-08 02:54:18.308926+00:00,MA,hit_stop,-1.0,-186.6,18473.48,18660.08,-1.0,True
166,2026-05-08 02:54:18.310240+00:00,MA,hit_stop,-1.0,-184.73,18288.75,18660.08,-1.99,True
167,2026-05-08 02:54:18.324277+00:00,MA,hit_stop,-1.0,-182.89,18105.86,18660.08,-2.97,True
168,2026-05-08 02:54:18.326435+00:00,MA,expired,0.511,92.49,18198.36,18660.08,-2.47,True
