trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
107,2026-05-09 03:33:14.111633+00:00,BRK-B,hit_target,3.35,530.05,16352.37,16352.37,0.0,False
108,2026-05-09 03:33:14.126166+00:00,BRK-B,hit_target,1.67,273.08,16625.45,16625.45,0.0,False
109,2026-05-09 03:33:14.127514+00:00,BRK-B,hit_stop,-1.0,-166.25,16459.2,16625.45,-1.0,True
110,2026-05-09 03:33:14.128057+00:00,BRK-B,hit_stop,-1.0,-164.59,16294.61,16625.45,-1.99,True
111,2026-05-09 03:33:14.149205+00:00,BRK-B,hit_stop,-1.0,-162.95,16131.66,16625.45,-2.97,True
112,2026-05-09 03:33:14.150286+00:00,BRK-B,hit_stop,-1.0,-161.32,15970.34,16625.45,-3.94,True
113,2026-05-09 03:33:14.178094+00:00,BRK-B,expired,0.793,126.69,16097.03,16625.45,-3.18,True
114,2026-05-09 03:33:14.178832+00:00,BRK-B,expired,-0.467,-75.19,16021.84,16625.45,-3.63,True
115,2026-05-09 03:33:14.193792+00:00,BRK-B,hit_stop,-1.0,-160.22,15861.62,16625.45,-4.59,True
116,2026-05-09 03:33:14.208610+00:00,BRK-B,hit_stop,-1.0,-158.62,15703.0,16625.45,-5.55,True
117,2026-05-09 03:33:14.971124+00:00,V,expired,1.082,169.92,15872.93,16625.45,-4.53,True
118,2026-05-09 03:33:14.971885+00:00,V,expired,0.658,104.52,15977.45,16625.45,-3.9,True
119,2026-05-09 03:33:14.972905+00:00,V,expired,0.664,106.04,16083.49,16625.45,-3.26,True
120,2026-05-09 03:33:14.974193+00:00,V,expired,0.066,10.6,16094.09,16625.45,-3.2,True
121,2026-05-09 03:33:14.978790+00:00,V,hit_target,1.69,271.99,16366.08,16625.45,-1.56,True
122,2026-05-09 03:33:14.979387+00:00,V,hit_target,2.1,343.69,16709.76,16709.76,0.0,False
123,2026-05-09 03:33:14.980954+00:00,V,expired,0.019,3.09,16712.86,16712.86,0.0,False
124,2026-05-09 03:33:14.988738+00:00,V,hit_stop,-1.0,-167.13,16545.73,16712.86,-1.0,True
125,2026-05-09 03:33:14.989483+00:00,V,hit_stop,-1.0,-165.46,16380.27,16712.86,-1.99,True
126,2026-05-09 03:33:14.998763+00:00,V,hit_stop,-1.0,-163.8,16216.47,16712.86,-2.97,True
127,2026-05-09 03:33:15.021034+00:00,V,hit_stop,-1.0,-162.16,16054.3,16712.86,-3.94,True
128,2026-05-09 03:33:15.030836+00:00,V,hit_target,1.92,308.24,16362.54,16712.86,-2.1,True
129,2026-05-09 03:33:15.032141+00:00,V,expired,0.415,67.93,16430.47,16712.86,-1.69,True
130,2026-05-09 03:33:15.034628+00:00,V,expired,-0.228,-37.54,16392.93,16712.86,-1.91,True
131,2026-05-09 03:33:15.044588+00:00,V,hit_target,2.4,393.43,16786.36,16786.36,0.0,False
132,2026-05-09 03:33:15.050973+00:00,V,hit_stop,-1.0,-167.86,16618.5,16786.36,-1.0,True
133,2026-05-09 03:33:15.062461+00:00,V,expired,0.681,113.19,16731.69,16786.36,-0.33,True
134,2026-05-09 03:33:15.067671+00:00,V,hit_stop,-1.0,-167.32,16564.37,16786.36,-1.32,True
135,2026-05-09 03:33:15.105419+00:00,V,expired,0.619,102.5,16666.88,16786.36,-0.71,True
136,2026-05-09 03:33:15.106411+00:00,V,hit_stop,-1.0,-166.67,16500.21,16786.36,-1.7,True
137,2026-05-09 03:33:15.108344+00:00,V,hit_stop,-1.0,-165.0,16335.2,16786.36,-2.69,True
138,2026-05-09 03:33:15.129534+00:00,V,expired,-0.663,-108.31,16226.89,16786.36,-3.33,True
139,2026-05-09 03:33:15.903507+00:00,JPM,hit_target,2.03,329.41,16556.3,16786.36,-1.37,True
