trade_n,closed_dt,symbol,status,realized_r,pnl_dollars,capital,peak,drawdown_pct,in_drawdown
105,2026-08-05 14:52:25.799517+00:00,CAT,hit_stop,-1.0,-143.91,14246.88,14418.14,-1.19,True
106,2026-08-05 14:52:25.820867+00:00,CAT,hit_target,1.93,274.99,14521.87,14521.87,0.0,False
107,2026-08-05 14:52:26.754389+00:00,HON,hit_stop,-1.0,-145.22,14376.65,14521.87,-1.0,True
108,2026-08-05 14:52:26.792891+00:00,HON,expired,0.088,12.58,14389.24,14521.87,-0.91,True
109,2026-08-05 14:52:26.859609+00:00,HON,hit_stop,-1.0,-143.89,14245.35,14521.87,-1.9,True
110,2026-08-05 14:52:26.888472+00:00,HON,hit_stop,-1.0,-142.45,14102.89,14521.87,-2.89,True
111,2026-08-05 14:52:27.735143+00:00,DE,hit_target,1.664,234.64,14337.54,14521.87,-1.27,True
112,2026-08-05 14:52:27.758103+00:00,DE,hit_stop,-1.0,-143.38,14194.16,14521.87,-2.26,True
113,2026-08-05 14:52:27.780848+00:00,DE,hit_stop,-1.0,-141.94,14052.22,14521.87,-3.23,True
114,2026-08-05 14:52:27.792551+00:00,DE,expired,-0.137,-19.24,14032.98,14521.87,-3.37,True
115,2026-08-05 14:52:28.650561+00:00,LMT,expired,0.925,129.86,14162.83,14521.87,-2.47,True
116,2026-08-05 14:52:28.763840+00:00,LMT,hit_target,1.916,271.29,14434.13,14521.87,-0.6,True
117,2026-08-05 14:52:29.617695+00:00,XOM,hit_stop,-1.0,-144.34,14289.78,14521.87,-1.6,True
118,2026-08-05 14:52:29.641126+00:00,XOM,hit_target,2.013,287.63,14577.42,14577.42,0.0,False
119,2026-08-05 14:52:29.703717+00:00,XOM,hit_stop,-1.0,-145.77,14431.64,14577.42,-1.0,True
120,2026-08-05 14:52:29.733221+00:00,XOM,hit_target,3.873,558.96,14990.6,14990.6,0.0,False
121,2026-08-05 14:52:29.741984+00:00,XOM,hit_target,1.088,163.12,15153.72,15153.72,0.0,False
122,2026-08-05 14:52:30.693850+00:00,CVX,hit_stop,-1.0,-151.54,15002.18,15153.72,-1.0,True
123,2026-08-05 14:52:30.705109+00:00,CVX,expired,0.992,148.8,15150.98,15153.72,-0.02,True
124,2026-08-05 14:52:30.742085+00:00,CVX,hit_target,1.851,280.45,15431.42,15431.42,0.0,False
125,2026-08-05 14:52:33.162837+00:00,XLK,hit_stop,-1.0,-154.31,15277.11,15431.42,-1.0,True
126,2026-08-05 14:52:33.173672+00:00,XLK,hit_stop,-1.0,-152.77,15124.34,15431.42,-1.99,True
127,2026-08-05 14:52:34.110886+00:00,XLF,hit_stop,-1.0,-151.24,14973.09,15431.42,-2.97,True
128,2026-08-05 14:52:34.157952+00:00,XLF,hit_stop,-1.0,-149.73,14823.36,15431.42,-3.94,True
129,2026-08-05 14:52:34.928465+00:00,XLV,hit_stop,-1.0,-148.23,14675.13,15431.42,-4.9,True
130,2026-08-05 14:52:35.765028+00:00,XLI,hit_target,2.256,331.11,15006.23,15431.42,-2.76,True
131,2026-08-05 14:52:35.812320+00:00,XLI,expired,0.555,83.29,15089.52,15431.42,-2.22,True
132,2026-08-05 14:52:35.821740+00:00,XLI,hit_stop,-1.0,-150.9,14938.63,15431.42,-3.19,True
133,2026-08-05 14:52:35.873479+00:00,XLI,hit_target,2.012,300.55,15239.18,15431.42,-1.25,True
134,2026-08-05 14:52:35.876247+00:00,XLI,hit_stop,-1.0,-152.39,15086.79,15431.42,-2.23,True
135,2026-08-05 14:52:36.684355+00:00,XLE,hit_stop,-1.0,-150.87,14935.92,15431.42,-3.21,True
136,2026-08-05 14:52:36.704827+00:00,XLE,hit_stop,-1.0,-149.36,14786.56,15431.42,-4.18,True
137,2026-08-05 14:52:36.733634+00:00,XLE,hit_target,4.041,597.53,15384.09,15431.42,-0.31,True
138,2026-08-05 14:52:36.735878+00:00,XLE,expired,1.323,203.57,15587.66,15587.66,0.0,False
139,2026-08-05 14:52:37.540168+00:00,XLP,hit_stop,-1.0,-155.88,15431.78,15587.66,-1.0,True
140,2026-08-05 14:52:37.542164+00:00,XLP,hit_target,21.058,3249.6,18681.38,18681.38,0.0,False
141,2026-08-05 14:52:37.546044+00:00,XLP,expired,-0.235,-43.89,18637.49,18681.38,-0.23,True
142,2026-08-05 14:52:37.565587+00:00,XLP,expired,2.337,435.55,19073.04,19073.04,0.0,False
143,2026-08-05 14:52:37.568754+00:00,XLP,hit_stop,-1.0,-190.73,18882.31,19073.04,-1.0,True
144,2026-08-05 14:52:37.569321+00:00,XLP,hit_stop,-1.0,-188.82,18693.49,19073.04,-1.99,True
